Term,ECSS Standards,Branches
TGA,"['ECSS_E_ST_35_10C', 'ECSS_E_ST_33_11CRev1', 'ECSS_Q_ST_70_55C', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_Q_ST_70_16C', 'ECSS_E_ST_33_11C']","['E', 'Q']"
ACS,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_20_07CRev2', 'ECSS_Q_ST_70_01C', 'ECSS_E_ST_20_07C', 'ECSS_E_ST_20_07CRev1']","['E', 'Q']"
BOL,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_60_21C', 'ECSS_E_ST_60_20CRev2', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_70_01C', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_60_20CRev1', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', 'Q', '']"
CEX,['ECSS_E_ST_35CRev1'],['E']
CFC,['ECSS_E_ST_35CRev1'],['E']
CFD,['ECSS_E_ST_35CRev1'],['E']
CPIA,['ECSS_E_ST_35CRev1'],['E']
DF,['ECSS_E_ST_35CRev1'],['E']
DJ,['ECSS_E_ST_35CRev1'],['E']
EIDP,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_20CRev2', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_20CRev2Corr1', 'ECSS_Q_ST_20_08C', 'ECSS_Q_ST_70_80C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_20C', 'ECSS_Q_ST_20CRev1', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', 'M', 'Q', '']"
EJMA,['ECSS_E_ST_35CRev1'],['E']
EOL,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_60_21C', 'ECSS_E_ST_60_20CRev2', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_70_02C', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_30_11C', 'ECSS_Q_ST_30_11CRev1', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_60_20CRev1', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', 'Q', '']"
EP,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_20_06C']",['E']
FEEP,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_20_06C']",['E']
GSO,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_05CRev1']",['E']
IATA,['ECSS_E_ST_35CRev1'],['E']
MPD,"['ECSS_E_ST_35CRev1', 'ECSS_Q_ST_70_80C']","['E', 'Q']"
NPSP,['ECSS_E_ST_35CRev1'],['E']
NTO,['ECSS_E_ST_35CRev1'],['E']
OBC,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_20CRev2', 'ECSS_E_ST_20CRev1']",['E']
ODE,['ECSS_E_ST_35CRev1'],['E']
PACT,['ECSS_E_ST_35CRev1'],['E']
PCU,['ECSS_E_ST_35CRev1'],['E']
PED,"['ECSS_E_ST_35CRev1', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_60_13C']","['E', 'Q']"
PMD,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_50_16C', 'ECSS_E_ST_10_04C']",['E']
PPT,['ECSS_E_ST_35CRev1'],['E']
RFNA,['ECSS_E_ST_35CRev1'],['E']
STD,"['ECSS_E_ST_35CRev1', 'ECSS_Q_ST_20_10C']","['E', 'Q']"
TBI,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_33_11C']",['E']
TCA,['ECSS_E_ST_35CRev1'],['E']
TEG,['ECSS_E_ST_35CRev1'],['E']
UDMH,['ECSS_E_ST_35CRev1'],['E']
CMMI,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
CPU,"['ECSS_E_ST_40C', 'ECSS_E_ST_70_01C', 'ECSS_E_ST_70_11C', 'ECSS_E_ST_31_04C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
DDR,"['ECSS_E_ST_40C', 'ECSS_E_ST_70_01C', 'ECSS_Q_ST_60_02C', 'ECSS_Q_ST_80CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_80C']","['E', 'Q', '']"
eo,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
GS,"['ECSS_E_ST_40C', 'ECSS_E_ST_70C', 'ECSS_Q_ST_80CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_80C']","['E', 'Q', '']"
HSIA,"['ECSS_E_ST_40C', 'ECSS_Q_ST_30_02C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_30CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_30C', 'ECSS_Q_ST_80C']","['E', 'Q', '']"
HW,"['ECSS_E_ST_40C', 'ECSS_Q_ST_20_08C', 'ECSS_Q_ST_80CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_80C']","['E', 'Q', '']"
INTRSA,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
ISV,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
ISVV,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
MGT,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
MF,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
MOTS,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
OBCP,"['ECSS_E_ST_40C', 'ECSS_E_ST_70_01C', 'ECSS_E_ST_70_41C', 'ECSS_M_ST_10CRev1', 'ECSS_M_ST_60C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'M', 'Q']"
OP,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
OTS,"['ECSS_E_ST_40C', 'ECSS_E_ST_10_24C', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_80CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_80C']","['E', 'M', 'Q', '']"
PAF,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
RB,"['ECSS_E_ST_40C', 'ECSS_Q_ST_30_02C', 'ECSS_Q_ST_80CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_80C']","['E', 'Q', '']"
SCAMPI,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
SDE,"['ECSS_E_ST_40C', 'ECSS_E_ST_70_01C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
SPA,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
SPAMR,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
SPAP,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
SPR,"['ECSS_E_ST_40C', 'ECSS_E_ST_70C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
SRB,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
SW,"['ECSS_E_ST_40C', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_50_16C', 'ECSS_Q_ST_80CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_80C', 'ECSS_E_ST_10_04C']","['E', 'Q', '']"
SWE,"['ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
TRR,"['ECSS_E_ST_40C', 'ECSS_E_ST_70_01C', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_20CRev2', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_20CRev2Corr1', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_20_08C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_60CRev3', 'ECSS_Q_ST_70_61C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_20C', 'ECSS_Q_ST_80C', 'ECSS_Q_ST_20CRev1', 'ECSS_Q_ST_60CRev2', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_20C', 'ECSS_E_ST_10_03C', 'ECSS_E_ST_20CRev1']","['E', 'M', 'Q', '']"
AGC,['ECSS_E_ST_50_02C'],['E']
AU,"['ECSS_E_ST_50_02C', 'ECSS_Q_ST_70_05CRev1', 'ECSS_Q_ST_70_05C']","['E', 'Q']"
2BL,"['ECSS_E_ST_50_02C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_05CRev1']",['E']
BPSK,"['ECSS_E_ST_50_02C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_05CRev1', 'ECSS_E_ST_50_01C']",['E']
CLCW,"['ECSS_E_ST_50_02C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_05CRev1', 'ECSS_E_ST_50_04C']",['E']
C/N,['ECSS_E_ST_50_02C'],['E']
dB,"['ECSS_E_ST_50_02C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_05CRev1']",['E']
dBc,"['ECSS_E_ST_50_02C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_05CRev1']",['E']
DRVID,['ECSS_E_ST_50_02C'],['E']
IF,"['ECSS_E_ST_50_02C', 'ECSS_E_ST_20_01C']",['E']
LO,['ECSS_E_ST_50_02C'],['E']
NRZ,"['ECSS_E_ST_50_02C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_05CRev1']",['E']
NRZ-L,"['ECSS_E_ST_50_02C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_05CRev1', 'ECSS_E_ST_50_01C']",['E']
PM,"['ECSS_E_ST_50_02C', 'ECSS_E_ST_50_05CRev2', 'ECSS_Q_ST_20CRev2Corr1', 'ECSS_Q_ST_20C', 'ECSS_Q_ST_20CRev1', 'ECSS_E_ST_50_05CRev1']","['E', 'Q']"
PSK,"['ECSS_E_ST_50_02C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_AS_50_21C', 'ECSS_E_ST_50_05CRev1']",['E']
Pp,['ECSS_E_ST_50_02C'],['E']
SNR,['ECSS_E_ST_50_02C'],['E']
SP-L,"['ECSS_E_ST_50_02C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_05CRev1']",['E']
TR,"['ECSS_E_ST_50_02C', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_10_03C']",['E']
AKE,"['ECSS_E_ST_60_30C', 'ECSS_E_ST_60_10C']",['E']
APE,"['ECSS_E_ST_60_30C', 'ECSS_E_ST_60_10C']",['E']
ATB,['ECSS_E_ST_60_30C'],['E']
ECEF,['ECSS_E_ST_60_30C'],['E']
FD,"['ECSS_E_ST_60_30C', 'ECSS_E_ST_33_01CRev2', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_33_01CRev1']",['E']
GNC,['ECSS_E_ST_60_30C'],['E']
GNSS,"['ECSS_E_ST_60_30C', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_10_04CRev1']",['E']
LEOP,"['ECSS_E_ST_60_30C', 'ECSS_E_ST_70C', 'ECSS_E_ST_50CRev1', 'ECSS_E_ST_10_03CRev1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_50C', 'ECSS_E_ST_10_03C']","['E', '']"
MRD,"['ECSS_E_ST_60_30C', 'ECSS_M_ST_10_01C']","['E', 'M']"
P/L,"['ECSS_E_ST_60_30C', 'ECSS_E_ST_10_02C']",['E']
PRD,"['ECSS_E_ST_60_30C', 'ECSS_M_ST_10CRev1', 'ECSS_S_ST_00CRev1', 'ECSS_S_ST_00C']","['E', 'M', '']"
RKE,"['ECSS_E_ST_60_30C', 'ECSS_E_ST_60_10C']",['E']
RPE,"['ECSS_E_ST_60_30C', 'ECSS_E_ST_60_10C']",['E']
SRD,"['ECSS_E_ST_60_30C', 'ECSS_M_ST_10_01C']","['E', 'M']"
SSUM,"['ECSS_E_ST_60_30C', 'ECSS_E_ST_70C']",['E']
TBS,"['ECSS_E_ST_60_30C', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_20_08C']",['E']
API,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_31_04C', 'ECSS_E_ST_50_16C', 'ECSS_E_ST_50_12C']",['E']
ATC,['ECSS_E_ST_50_13C'],['E']
ATR,"['ECSS_E_ST_50_13C', 'ECSS_Q_ST_70_05CRev1', 'ECSS_Q_ST_70_05C']","['E', 'Q']"
BC,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_12CRev1', 'ECSS_E_ST_50_04C']",['E']
BM,['ECSS_E_ST_50_13C'],['E']
CF,['ECSS_E_ST_50_13C'],['E']
CUC,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_70_41C']",['E']
CW,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_20_07CRev2', 'ECSS_E_ST_20_07C', 'ECSS_E_ST_20_07CRev1']",['E']
DDC,['ECSS_E_ST_50_13C'],['E']
DHS,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_50_14C']",['E']
DTD,['ECSS_E_ST_50_13C'],['E']
DW,['ECSS_E_ST_50_13C'],['E']
GND,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_16C', 'ECSS_Q_ST_70_12C']","['E', 'Q']"
ID,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_50_51C', 'ECSS_E_ST_50_52C', 'ECSS_E_ST_70_11C', 'ECSS_E_ST_70_31C', 'ECSS_E_ST_70_41C', 'ECSS_E_ST_50_12CRev1', 'ECSS_E_ST_50_16C', 'ECSS_Q_ST_70_17C', 'ECSS_S_ST_00CRev1', 'ECSS_E_ST_50_04C', 'ECSS_S_ST_00C']","['E', 'Q', '']"
I/O,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_70_01C', 'ECSS_E_ST_70_11C', 'ECSS_E_ST_70C', 'ECSS_Q_ST_70_12C', 'ECSS_S_ST_00_01C']","['E', 'Q', '']"
LSB,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_50_14C', 'ECSS_E_ST_50_52C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_15C', 'ECSS_E_ST_70_41C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_12CRev1', 'ECSS_E_ST_50_05CRev1', 'ECSS_E_ST_50_12C']",['E']
MSB,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_50_14C', 'ECSS_E_ST_50_52C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_15C', 'ECSS_E_ST_70_41C', 'ECSS_E_ST_50_12CRev1', 'ECSS_E_ST_50_05CRev1', 'ECSS_E_ST_50_12C', 'ECSS_E_ST_50_01C', 'ECSS_E_ST_50_03C', 'ECSS_E_ST_50_04C']",['E']
N,['ECSS_E_ST_50_13C'],['E']
N/A,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_32_10CRev2Corr1', 'ECSS_M_ST_10CRev1', 'ECSS_Q_ST_20_08C', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_33_11C', 'ECSS_E_ST_32_10CRev1', 'ECSS_E_ST_32_10CRev2']","['E', 'M', 'Q', '']"
NC,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_10_03CRev1', 'ECSS_Q_ST_70_17C', 'ECSS_E_ST_33_11C', 'ECSS_E_ST_10_03C']","['E', 'Q']"
OBT,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_70_11C', 'ECSS_E_ST_70_31C']",['E']
PDU,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_50_15C']",['E']
PUS,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_70C', 'ECSS_E_ST_70_31C', 'ECSS_E_ST_70_41C']",['E']
R,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_10_04C', 'ECSS_E_ST_32_01CRev1']",['E']
RD,"['ECSS_E_ST_50_13C', 'ECSS_Q_ST_70_14C']","['E', 'Q']"
RT,"['ECSS_E_ST_50_13C', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_70_02C', 'ECSS_Q_ST_70_15C']","['E', 'Q']"
SA,['ECSS_E_ST_50_13C'],['E']
SDBP,['ECSS_E_ST_50_13C'],['E']
SOIS,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_50_52C']",['E']
SYNCH,['ECSS_E_ST_50_13C'],['E']
T,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_33_01CRev2', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_70_29C', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_33_01CRev1', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', 'Q']"
TBC,['ECSS_E_ST_50_13C'],['E']
TBW,['ECSS_E_ST_50_13C'],['E']
TSC,['ECSS_E_ST_50_13C'],['E']
UML,"['ECSS_E_ST_50_13C', 'ECSS_E_ST_31_04C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_12CRev1']",['E']
A/D,"['ECSS_E_ST_50_14C', 'ECSS_E_ST_33_01CRev2', 'ECSS_Q_ST_30_11CRev2', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_30_11C', 'ECSS_Q_ST_30_11CRev1', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_33_01CRev1']","['E', 'Q', '']"
ASM,"['ECSS_E_ST_50_14C', 'ECSS_E_ST_50_01C', 'ECSS_E_ST_50_03C']",['E']
BDM,['ECSS_E_ST_50_14C'],['E']
BSD,['ECSS_E_ST_50_14C'],['E']
BSM,['ECSS_E_ST_50_14C'],['E']
CM,"['ECSS_E_ST_50_14C', 'ECSS_E_ST_50_16C', 'ECSS_M_ST_40CRev1']","['E', 'M']"
HPC,['ECSS_E_ST_50_14C'],['E']
HC-HPC,['ECSS_E_ST_50_14C'],['E']
HV-HPC,['ECSS_E_ST_50_14C'],['E']
ISD,['ECSS_E_ST_50_14C'],['E']
LPC,['ECSS_E_ST_50_14C'],['E']
LPC-P,['ECSS_E_ST_50_14C'],['E']
LPC-S,['ECSS_E_ST_50_14C'],['E']
LV-HPC,['ECSS_E_ST_50_14C'],['E']
OSD,['ECSS_E_ST_50_14C'],['E']
TSM,['ECSS_E_ST_50_14C'],['E']
EEP,"['ECSS_E_ST_50_51C', 'ECSS_E_ST_50_52C', 'ECSS_E_ST_50_53C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_12CRev1', 'ECSS_E_ST_50_12C']",['E']
EOP,"['ECSS_E_ST_50_51C', 'ECSS_E_ST_50_52C', 'ECSS_E_ST_50_53C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_12CRev1', 'ECSS_E_ST_50_12C']",['E']
FIFO,"['ECSS_E_ST_50_51C', 'ECSS_E_ST_50_52C', 'ECSS_E_ST_50_15C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_12CRev1', 'ECSS_E_ST_50_12C']",['E']
RMAP,"['ECSS_E_ST_50_51C', 'ECSS_E_ST_50_52C', 'ECSS_E_ST_50_11C']",['E']
VHSIC,"['ECSS_E_ST_50_51C', 'ECSS_E_ST_50_52C']",['E']
CRC,"['ECSS_E_ST_50_52C', 'ECSS_E_ST_70_11C', 'ECSS_E_ST_70_31C', 'ECSS_E_ST_70_41C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_16C', 'ECSS_Q_ST_70_12C', 'ECSS_E_ST_50_01C']","['E', 'Q']"
FCT,"['ECSS_E_ST_50_52C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_12CRev1', 'ECSS_E_ST_50_12C']",['E']
inc,['ECSS_E_ST_50_52C'],['E']
Len,['ECSS_E_ST_50_52C'],['E']
LS,"['ECSS_E_ST_50_52C', 'ECSS_E_ST_70C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_12CRev1']",['E']
RMW,['ECSS_E_ST_50_52C'],['E']
SpW,"['ECSS_E_ST_50_52C', 'ECSS_E_ST_50_53C', 'ECSS_E_ST_50_12CRev1']",['E']
SSNSAP,['ECSS_E_ST_50_52C'],['E']
VHDL,"['ECSS_E_ST_50_52C', 'ECSS_Q_ST_60_02C']","['E', 'Q']"
LTI,['ECSS_E_ST_60_10C'],['E']
MKE,['ECSS_E_ST_60_10C'],['E']
MPE,['ECSS_E_ST_60_10C'],['E']
PDE,['ECSS_E_ST_60_10C'],['E']
PDF,"['ECSS_E_ST_60_10C', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_30_09C']","['E', 'M', 'Q']"
PRE,['ECSS_E_ST_60_10C'],['E']
RSS,"['ECSS_E_ST_60_10C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_05CRev1']",['E']
CPDU,"['ECSS_E_ST_70_01C', 'ECSS_E_ST_70_11C', 'ECSS_E_ST_70_31C', 'ECSS_E_ST_70_41C']",['E']
EBNF,"['ECSS_E_ST_70_01C', 'ECSS_E_ST_70_32C', 'ECSS_E_ST_70_31C']",['E']
EGSE,"['ECSS_E_ST_70_01C', 'ECSS_E_ST_70C', 'ECSS_E_ST_70_32C', 'ECSS_E_ST_60_21C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_20_07CRev2', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_20CRev2', 'ECSS_M_ST_10CRev1', 'ECSS_Q_ST_20CRev2Corr1', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_70_58C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_20C', 'ECSS_Q_ST_20CRev1', 'ECSS_E_ST_20_07C', 'ECSS_E_ST_50_12C', 'ECSS_E_ST_20C', 'ECSS_E_ST_10_03C', 'ECSS_E_ST_20_07CRev1', 'ECSS_E_ST_20CRev1']","['E', 'M', 'Q', '']"
MCS,['ECSS_E_ST_70_01C'],['E']
OBAP,['ECSS_E_ST_70_01C'],['E']
OBOP,['ECSS_E_ST_70_01C'],['E']
OBSW,"['ECSS_E_ST_70_01C', 'ECSS_E_ST_70C']",['E']
RAM,"['ECSS_E_ST_70_01C', 'ECSS_E_ST_70_11C', 'ECSS_E_ST_70C', 'ECSS_E_ST_70_41C', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_30_09C']","['E', 'Q']"
APID,"['ECSS_E_ST_70_11C', 'ECSS_E_ST_70_31C', 'ECSS_E_ST_70_41C']",['E']
GPS,"['ECSS_E_ST_70_11C', 'ECSS_E_ST_70_41C', 'ECSS_Q_ST_30_09C']","['E', 'Q']"
MAP,"['ECSS_E_ST_70_11C', 'ECSS_E_ST_70_31C', 'ECSS_E_ST_70_41C', 'ECSS_E_ST_50_04C']",['E']
RFI,"['ECSS_E_ST_70_11C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_05CRev1']",['E']
RFP,"['ECSS_E_ST_70_11C', 'ECSS_M_ST_10CRev1']","['E', 'M']"
TT&C,"['ECSS_E_ST_70_11C', 'ECSS_E_ST_70C', 'ECSS_E_ST_50CRev1', 'ECSS_E_ST_10_03CRev1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_50C', 'ECSS_E_ST_10_03C']","['E', '']"
ATV,['ECSS_E_ST_70C'],['E']
CFISRD,['ECSS_E_ST_70C'],['E']
DFT,"['ECSS_E_ST_70C', 'ECSS_Q_ST_60_02C']","['E', 'Q']"
FAT,['ECSS_E_ST_70C'],['E']
FMEA,"['ECSS_E_ST_70C', 'ECSS_E_ST_20_21C', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_30_02C', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_20_08C', 'ECSS_Q_ST_30CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_30C', 'ECSS_Q_ST_40C']","['E', 'Q', '']"
FQR,['ECSS_E_ST_70C'],['E']
FS,"['ECSS_E_ST_70C', 'ECSS_Q_ST_70_60CCorr1']","['E', 'Q']"
GSAITP,['ECSS_E_ST_70C'],['E']
GSC,['ECSS_E_ST_70C'],['E']
GSCDR,['ECSS_E_ST_70C'],['E']
GSCRD,['ECSS_E_ST_70C'],['E']
GSDDF,['ECSS_E_ST_70C'],['E']
GSDJF,['ECSS_E_ST_70C'],['E']
GSEP,['ECSS_E_ST_70C'],['E']
GSPDR,['ECSS_E_ST_70C'],['E']
GSQR,['ECSS_E_ST_70C'],['E']
GSRD,['ECSS_E_ST_70C'],['E']
GSSRR,['ECSS_E_ST_70C'],['E']
GSS,['ECSS_E_ST_70C'],['E']
GSVP,['ECSS_E_ST_70C'],['E']
HCI,['ECSS_E_ST_70C'],['E']
IOOR,['ECSS_E_ST_70C'],['E']
LAN,"['ECSS_E_ST_70C', 'ECSS_E_ST_50_16C']",['E']
LIT,['ECSS_E_ST_70C'],['E']
LSP,['ECSS_E_ST_70C'],['E']
MAR,['ECSS_E_ST_70C'],['E']
MOCD,['ECSS_E_ST_70C'],['E']
MRT,['ECSS_E_ST_70C'],['E']
OAR,['ECSS_E_ST_70C'],['E']
OBSM,"['ECSS_E_ST_70C', 'ECSS_E_ST_70_31C']",['E']
OC,['ECSS_E_ST_70C'],['E']
OCRD,['ECSS_E_ST_70C'],['E']
OEP,['ECSS_E_ST_70C'],['E']
OPS,['ECSS_E_ST_70C'],['E']
OQR,['ECSS_E_ST_70C'],['E']
OS,['ECSS_E_ST_70C'],['E']
OTP,['ECSS_E_ST_70C'],['E']
OVP,['ECSS_E_ST_70C'],['E']
PLUTO,"['ECSS_E_ST_70C', 'ECSS_E_ST_70_32C', 'ECSS_E_ST_70_31C']",['E']
PROM,"['ECSS_E_ST_70C', 'ECSS_Q_ST_30_11CRev2', 'ECSS_Q_ST_30_11CRev1']","['E', 'Q']"
REP,['ECSS_E_ST_70C'],['E']
ROM,"['ECSS_E_ST_70C', 'ECSS_M_ST_40CRev1']","['E', 'M']"
SGICD,['ECSS_E_ST_70C'],['E']
SPEC,['ECSS_E_ST_70C'],['E']
SSC,['ECSS_E_ST_70C'],['E']
SSORD,['ECSS_E_ST_70C'],['E']
SSS,"['ECSS_E_ST_70C', 'ECSS_E_ST_20_20C', 'ECSS_E_ST_20_21C']",['E']
SSM,"['ECSS_E_ST_70C', 'ECSS_E_ST_70_32C', 'ECSS_E_ST_70_31C', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_20_06C']",['E']
