Term,ECSS Standards,Branches
ORR,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_40C', 'ECSS_E_ST_70C', 'ECSS_M_ST_10CRev1', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_80CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_40C', 'ECSS_Q_ST_80C', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C']","['E', 'M', 'Q', '']"
PDR,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10_12C', 'ECSS_E_ST_32_11C', 'ECSS_E_ST_40C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_70_01C', 'ECSS_E_ST_70C', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_50CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_20CRev2', 'ECSS_M_ST_10CRev1', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_60_05CRev1', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_Q_ST_70CRev2', 'ECSS_Q_ST_60CRev3', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_40C', 'ECSS_Q_ST_80C', 'ECSS_Q_ST_70CRev1', 'ECSS_Q_ST_60CRev2', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_20C', 'ECSS_E_ST_32_01CRev1', 'ECSS_E_ST_50C', 'ECSS_E_ST_20CRev1']","['E', 'M', 'Q', '']"
PM&P,['ECSS_E_ST_10CRev1'],['E']
PMP,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_31C', 'ECSS_E_ST_20_08CRev1', 'ECSS_M_ST_10CRev1', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_10_04C', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_70CRev2', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_70CRev1', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_10C']","['E', 'M', 'Q', '']"
PRR,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_40C', 'ECSS_E_ST_70C', 'ECSS_M_ST_10CRev1', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_80CRev1', 'ECSS_S_ST_00_01C', 'ECSS_U_ST_20C', 'ECSS_Q_ST_40C', 'ECSS_Q_ST_80C', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C']","['E', 'M', 'Q', '', 'U']"
PUM,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10C']",['E']
QR,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_40C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_70_01C', 'ECSS_E_ST_50CRev1', 'ECSS_M_ST_10CRev1', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_70CRev2', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_40C', 'ECSS_Q_ST_80C', 'ECSS_Q_ST_70CRev1', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_50C']","['E', 'M', 'Q', '']"
RAMS,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_20_08CRev1', 'ECSS_Q_ST_30_02C', 'ECSS_Q_ST_10_09CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_10_09C', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_10C']","['E', 'Q', '']"
RAR,['ECSS_E_ST_10CRev1'],['E']
RF,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_50_02C', 'ECSS_E_ST_70_11C', 'ECSS_E_ST_70C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_50CRev1', 'ECSS_E_ST_20_07CRev2', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_70_12C', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_Q_ST_70_17C', 'ECSS_Q_ST_30_11CRev2', 'ECSS_Q_ST_70_61C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_70_08C', 'ECSS_Q_ST_30_11CRev1', 'ECSS_E_ST_20_07C', 'ECSS_E_ST_50_05CRev1', 'ECSS_E_ST_10C', 'ECSS_E_ST_33_11C', 'ECSS_E_ST_20C', 'ECSS_E_ST_50_04C', 'ECSS_E_ST_50C', 'ECSS_E_ST_10_03C', 'ECSS_E_ST_20_07CRev1', 'ECSS_E_ST_20CRev1']","['E', 'Q', '']"
